wojewodztwo;powiat;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
podlaskie;Bia³ystok;5;0;5;0.17;0;0.17;0;0;0;20;0;0;83;8;75;0;t2061;2022-05-12
podlaskie;£om¿a;1;0;1;0.16;0;0.16;0;0;0;2;0;0;18;1;17;0;t2062;2022-05-12
podlaskie;Suwa³ki;0;0;0;0;0;0;0;0;0;2;0;0;36;0;36;0;t2063;2022-05-12
pomorskie;bytowski;0;0;0;0;0;0;0;0;0;0;0;0;11;0;11;0;t2201;2022-05-12
pomorskie;chojnicki;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;t2202;2022-05-12
pomorskie;cz³uchowski;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;t2203;2022-05-12
pomorskie;gdañski;0;0;0;0;0;0;0;0;0;3;0;0;26;1;25;0;t2204;2022-05-12
pomorskie;kartuski;1;0;1;0.07;0;0.07;0;0;0;0;0;0;43;2;41;0;t2205;2022-05-12
pomorskie;koœcierski;0;0;0;0;0;0;0;0;0;0;0;0;55;0;55;0;t2206;2022-05-12
pomorskie;kwidzyñski;0;0;0;0;0;0;0;0;0;0;0;0;11;0;11;0;t2207;2022-05-12
pomorskie;lêborski;0;0;0;0;0;0;0;0;0;1;0;0;5;0;5;0;t2208;2022-05-12
pomorskie;malborski;0;0;0;0;0;0;0;0;0;0;0;0;9;0;9;0;t2209;2022-05-12
pomorskie;nowodworski;0;0;0;0;0;0;0;0;0;1;0;0;5;0;5;0;t2210;2022-05-12
pomorskie;pucki;2;0;2;0.23;0;0.23;0;0;0;2;0;0;22;2;20;0;t2211;2022-05-12
pomorskie;s³upski;1;0;1;0.10;0;0.10;0;0;0;2;0;0;11;1;10;0;t2212;2022-05-12
pomorskie;starogardzki;0;0;0;0;0;0;0;0;0;8;0;0;24;0;24;0;t2213;2022-05-12
pomorskie;tczewski;0;0;0;0;0;0;0;0;0;1;0;0;10;0;10;0;t2214;2022-05-12
